"types"	"tokens"	"wortart"	"genus"
"1"	"Recherche"	"Recherche"	"NN"	"nsf"
"2"	"das"	"des"	"ART"	"gsn"
"3"	"Prinzip"	"Prinzips"	"NN"	"gsn"
"4"	"\""	"\""	"$("	"--"
"5"	"ich"	"Ich"	"PPER"	"ns*1"
"6"	"machen"	"mach"	"VVFIN"	"1sis"
"7"	"das"	"das"	"PDS"	"asn"
"8"	","	","	"$,"	"--"
"9"	"was"	"was"	"PRELS"	"asn"
"10"	"ich"	"ich"	"PPER"	"ns*1"
"11"	"selbst"	"selbst"	"ADV"	"--"
"12"	"sehen"	"sehen"	"VVINF"	"--"
"13"	"und"	"und"	"KON"	"--"
"14"	"hören"	"hören"	"VVINF"	"--"
"15"	"mögen%aux"	"möchte"	"VMFIN"	"1skt"
"16"	"\""	"\""	"$("	"--"
"17"	":"	":"	"$."	"--"
"18"	"Katrin"	"Katrin"	"NE"	"nsf"
"19"	"Rabus"	"Rabus"	"NE"	"nsf"
"20"	"gönnen"	"gönnt"	"VVFIN"	"3sis"
"21"	"#refl"	"sich"	"PRF"	"ds*3"
"22"	"zu"	"zum"	"APPRART"	"dsn"
"23"	"zwanzigjährig"	"zwanzigjährigen"	"ADJA"	"dsn"
"24"	"Galeriejubiläum"	"Galeriejubiläum"	"NN"	"dsn"
"25"	"ein"	"ein"	"ART"	"asn"
"26"	"Festival"	"Festival"	"NN"	"asn"
"27"	"zunächst"	"Zunächst"	"ADV"	"--"
"28"	"in"	"in"	"APPR"	"d"
"29"	"der"	"den"	"ART"	"dpm"
"30"	"Kellerraum"	"Kellerräumen"	"NN"	"dpm"
"31"	"die"	"der"	"ART"	"gsf"
"32"	"privat"	"privaten"	"ADJA"	"gsf"
"33"	"Lothringer"	"Lothringer"	"ADJA"	"***"
"34"	"Straße"	"Straße"	"NN"	"gsf"
"35"	","	","	"$,"	"--"
"36"	"später"	"später"	"ADJD"	"--"
"37"	"in"	"im"	"APPRART"	"dsn"
"38"	"umgebaut"	"umgebauten"	"ADJA"	"dsn"
"39"	"Fabrikgebäude"	"Fabrikgebäude"	"NN"	"dsn"
"40"	"auf"	"auf"	"APPR"	"d"
"41"	"die"	"der"	"ART"	"dsf"
"42"	"Plantage"	"Plantage"	"NN"	"dsf"
"43"	"in"	"in"	"APPR"	"d"
"44"	"Findorff"	"Findorff"	"NE"	"dsn"
"45"	"haben%aux"	"hat"	"VAFIN"	"3sis"
"46"	"Katrin"	"Katrin"	"NE"	"nsf"
"47"	"Rabus"	"Rabus"	"NE"	"nsf"
"48"	"zielstrebig"	"zielstrebig"	"ADJD"	"--"
"49"	"ihre"	"ihre"	"PPOSAT"	"asf"
"50"	"Galerie"	"Galerie"	"NN"	"asf"
"51"	"für"	"für"	"APPR"	"a"
"52"	"zeitgenössisch"	"zeitgenössische"	"ADJA"	"asf"
"53"	"Kunst"	"Kunst"	"NN"	"asf"
"54"	"auf#bauen"	"aufgebaut"	"VVPP"	"--"
"55"	"."	"."	"$."	"--"
"56"	"heute"	"Heute"	"ADV"	"--"
"57"	"kaufen"	"kaufen"	"VVFIN"	"3pis"
"58"	"Firma"	"Firmen"	"NN"	"npf"
"59"	"ebenso"	"ebenso"	"ADV"	"--"
"60"	"bei"	"bei"	"APPR"	"d"
"61"	"sie"	"ihr"	"PPER"	"dsf3"
"62"	"wie"	"wie"	"KOKOM"	"--"
"63"	"Privatleute"	"Privatleute"	"NN"	"np*"
"64"	":"	":"	"$."	"--"
"65"	"etwa"	"Etwa"	"ADV"	"--"
"66"	"zehn"	"zehn"	"CARD"	"--"
"67"	"Ausstellung"	"Ausstellungen"	"NN"	"apf"
"68"	"pro"	"pro"	"APPR"	"a"
"69"	"Jahr"	"Jahr"	"NN"	"asn"
"70"	"an#bieten"	"bot"	"VVFIN"	"3sit"
"71"	"und"	"und"	"KON"	"--"
"72"	"bieten"	"bietet"	"VVFIN"	"3sis"
"73"	"die"	"die"	"ART"	"nsf"
"74"	"Galeristin"	"Galeristin"	"NN"	"nsf"
"75"	"--"	"an"	"PTKVZ"	"--"
"76"	"."	"."	"$."	"--"
"77"	"dabei"	"Dabei"	"PROP"	"--"
"78"	"sein"	"ist"	"VAFIN"	"3sis"
"79"	"es"	"es"	"PPER"	"nsn3"
"80"	"sie"	"ihr"	"PPER"	"dsf3"
"81"	"wichtig"	"wichtig"	"ADJD"	"--"
"82"	","	","	"$,"	"--"
"83"	"immer"	"immer"	"ADV"	"--"
"84"	"auch"	"auch"	"ADV"	"--"
"85"	"Ausstellung"	"Ausstellungen"	"NN"	"apf"
"86"	"zu"	"zu"	"PTKZU"	"--"
"87"	"organisieren"	"organisieren"	"VVINF"	"--"
"88"	","	","	"$,"	"--"
"89"	"der|die|das"	"die"	"PRELS"	"np*"
"90"	"nicht"	"nicht"	"PTKNEG"	"--"
"91"	"primär"	"primär"	"ADJD"	"--"
"92"	"der"	"den"	"ART"	"asm"
"93"	"Verkauf"	"Verkauf"	"NN"	"asm"
"94"	"das"	"der"	"ART"	"gpn"
"95"	"Bild"	"Bilder"	"NN"	"gpn"
"96"	"zu"	"zum"	"APPRART"	"dsn"
"97"	"Ziel"	"Ziel"	"NN"	"dsn"
"98"	"haben"	"haben"	"VAFIN"	"3pis"
"99"	","	","	"$,"	"--"
"100"	"sondern"	"sondern"	"KON"	"--"
"101"	"KünstlerIn"	"KünstlerInnen"	"NN"	"dp*"
"102"	"ein"	"ein"	"ART"	"asn"
"103"	"Forum"	"Forum"	"NN"	"asn"
"104"	"bieten"	"bieten"	"VVFIN"	"3pis"
"105"	"."	"."	"$."	"--"
"106"	"die"	"Die"	"ART"	"nsf"
"107"	"mäzenatisch"	"mäzenatische"	"ADJA"	"nsf"
"108"	"Komponente"	"Komponente"	"NN"	"nsf"
"109"	"haben%aux"	"hat"	"VAFIN"	"3sis"
"110"	"bei"	"bei"	"APPR"	"d"
"111"	"Katrin"	"Katrin"	"NE"	"dsf"
"112"	"Rabus"	"Rabus"	"NE"	"dsf"
"113"	"immer"	"immer"	"ADV"	"--"
"114"	"eine"	"eine"	"ART"	"asf"
"115"	"Rolle"	"Rolle"	"NN"	"asf"
"116"	"spielen"	"gespielt"	"VVPP"	"--"
"117"	"."	"."	"$."	"--"
"118"	"Kern"	"Kern"	"NN"	"nsm"
"119"	"der"	"des"	"ART"	"gsm"
"120"	"selbstredend"	"selbstredend"	"ADJD"	"--"
"121"	"abstrakt"	"abstrakten"	"ADJA"	"gsm"
"122"	"Stil"	"Stils"	"NN"	"gsm"
"123"	"ihr|ihre"	"ihrer"	"PPOSAT"	"gp*"
"124"	"KünstlerIn"	"KünstlerInnen"	"NN"	"gp*"
"125"	"sein"	"ist"	"VAFIN"	"3sis"
"126"	"nach"	"nach"	"APPR"	"d"
"127"	"ihre"	"ihren"	"PPOSAT"	"dpf"
"128"	"Aussage"	"Aussagen"	"NN"	"dpf"
"129"	"\""	"\""	"$("	"--"
"130"	"Ordnung"	"Ordnung"	"NN"	"nsf"
"131"	","	","	"$,"	"--"
"132"	"Konzentration"	"Konzentration"	"NN"	"nsf"
"133"	"und"	"und"	"KON"	"--"
"134"	"Reduktion"	"Reduktion"	"NN"	"nsf"
"135"	"\""	"\""	"$("	"--"
"136"	"."	"."	"$."	"--"
"137"	"damit"	"Damit"	"PROP"	"--"
"138"	"haben%aux"	"hat"	"VAFIN"	"3sis"
"139"	"sie"	"sie"	"PPER"	"nsf3"
"140"	"#refl"	"sich"	"PRF"	"ds*3"
"141"	"auch"	"auch"	"ADV"	"--"
"142"	"überregional"	"überregional"	"ADJD"	"--"
"143"	"ein"	"einen"	"ART"	"asm"
"144"	"Name"	"Namen"	"NN"	"asm"
"145"	"machen"	"gemacht"	"VVPP"	"--"
"146"	"."	"."	"$."	"--"
"147"	"aber"	"Aber"	"KON"	"--"
"148"	"dabei"	"dabei"	"PROP"	"--"
"149"	"sollen%aux"	"sollte"	"VMFIN"	"3sit"
"150"	"es"	"es"	"PPER"	"nsn3"
"151"	"nicht"	"nicht"	"PTKNEG"	"--"
"152"	"bleiben"	"bleiben"	"VVINF"	"--"
"153"	","	","	"$,"	"--"
"154"	"aus"	"aus"	"APPR"	"d"
"155"	"zwei"	"zwei"	"CARD"	"--"
"156"	"verschieden"	"verschiedenen"	"ADJA"	"dpm"
"157"	"Grund"	"Gründen"	"NN"	"dpm"
"158"	":"	":"	"$."	"--"
"159"	"da"	"Da"	"ADV"	"--"
"160"	"sein"	"war"	"VAFIN"	"3sit"
"161"	"das"	"das"	"ART"	"nsn"
"162"	"Interesse"	"Interesse"	"NN"	"nsn"
"163"	"ihr"	"ihres"	"PPOSAT"	"gsm"
"164"	"Mann"	"Mannes"	"NN"	"gsm"
